Date,Open,High,Low,Close,Adj Close,Volume
2019-01-02,72.790001,74.639999,72.190002,74.059998,70.848518,6762700
2019-01-03,73.250000,73.320000,71.209999,72.750000,69.595345,8007400
2019-01-04,73.449997,75.120003,73.120003,74.650002,71.412949,7844200
2019-01-07,74.739998,76.360001,74.300003,75.720001,72.436546,8184800
2019-01-08,76.830002,77.400002,76.199997,76.730003,73.402756,8809000
2019-01-09,76.970001,77.150002,76.139999,76.589996,73.268814,8591000
2019-01-10,75.639999,77.339996,75.459999,76.419998,73.106178,11148600
2019-01-11,76.339996,76.889999,75.800003,76.040001,72.742661,10689900
2019-01-14,75.459999,76.809998,75.459999,76.089996,72.790482,5677400
2019-01-15,76.190002,77.980003,76.129997,77.879997,74.502884,6212400
2019-01-16,78.000000,78.849998,77.589996,77.680000,74.311546,5697100
2019-01-17,77.540001,79.400002,77.309998,79.129997,75.698685,7737300
2019-01-18,79.949997,80.970001,79.739998,80.449997,76.961433,10404100
2019-01-22,80.330002,81.309998,80.199997,80.750000,77.248428,8781700
2019-01-23,81.190002,81.400002,80.220001,80.500000,77.009262,5823000
2019-01-24,80.599998,80.870003,79.550003,80.440002,76.951866,4753200
2019-01-25,81.250000,81.330002,80.430000,80.610001,77.114487,4457100
2019-01-28,79.800003,80.510002,79.739998,80.320000,76.837059,5452000
2019-01-29,80.360001,80.830002,79.839996,80.220001,76.741409,4187500
2019-01-30,80.400002,81.290001,80.059998,81.279999,77.755455,5200200
2019-01-31,81.180000,81.949997,80.709999,81.879997,78.329407,8599200
2019-02-01,81.830002,81.900002,81.129997,81.510002,77.975464,5351900
2019-02-04,81.220001,82.000000,80.830002,81.989998,78.434647,4236600
2019-02-05,81.980003,83.190002,81.930000,82.860001,79.266937,6545600
2019-02-06,82.510002,82.709999,81.639999,82.709999,79.123444,3682800
2019-02-07,82.150002,82.849998,81.709999,82.389999,78.817307,4827500
2019-02-08,82.250000,82.720001,81.940002,82.360001,78.788597,3786500
2019-02-11,82.949997,83.830002,82.870003,83.680000,80.051376,6158500
2019-02-12,83.970001,84.839996,83.620003,84.709999,81.036705,6290300
