Date,Open,High,Low,Close,Adj Close,Volume
2019-01-02,40.910816,41.271347,40.455406,41.034157,34.732262,26430315
2019-01-03,41.024670,41.119545,39.800758,39.886147,33.760551,28503533
2019-01-04,40.265656,41.129032,40.094875,40.796963,34.531498,27145348
2019-01-07,40.863377,41.385201,40.664139,41.015179,34.716194,20995469
2019-01-08,41.328274,41.461102,40.939278,41.204933,34.876816,19677231
2019-01-09,41.233398,41.432636,40.986717,41.119545,34.804527,20107580
2019-01-10,41.005692,41.015179,39.876659,40.142315,33.977386,39731162
2019-01-11,40.161289,40.683113,39.990513,40.683113,34.435123,21064506
2019-01-14,40.370018,40.445919,40.009487,40.199242,34.025566,17605173
2019-01-15,40.417458,41.024670,40.256168,40.540798,34.314671,25865371
2019-01-16,40.407970,40.597721,39.876659,39.952560,33.816772,30169380
2019-01-17,39.800758,40.474384,39.686909,40.294117,34.105869,24177284
2019-01-18,40.664139,40.683113,40.094875,40.351044,34.154049,38618455
2019-01-22,40.237190,40.502846,39.781784,40.104362,33.945259,29444122
2019-01-23,39.838711,40.037952,39.421253,40.000000,33.856930,24462813
2019-01-24,39.639469,39.648956,38.538898,38.851994,32.885227,34394023
2019-01-25,38.994308,39.136623,38.434536,38.557877,32.636276,35862455
2019-01-28,38.425049,38.453510,37.457306,37.504745,31.744886,39329694
2019-01-29,37.476280,38.757114,37.447819,38.681213,32.740673,51376808
2019-01-30,38.681213,39.611008,38.643265,39.449715,33.391148,36067880
2019-01-31,39.259960,40.436432,39.231499,40.275143,34.387547,40927452
2019-02-01,40.673622,40.910816,40.370018,40.683113,34.735870,27239681
2019-02-04,40.645161,40.645161,39.810246,40.265656,34.379440,19426485
2019-02-05,40.256168,40.540798,39.905125,39.952560,34.112114,21127641
2019-02-06,39.772297,40.199242,39.648956,40.161289,34.290329,16450410
2019-02-07,39.952560,39.990513,39.098671,39.563568,33.779980,24248008
2019-02-08,39.402279,40.075901,39.364326,40.066414,34.209324,27500125
2019-02-11,40.113853,40.142315,39.383301,39.544594,33.763783,27102134
2019-02-12,39.573055,39.857685,39.269451,39.724857,33.917694,30540177
2019-02-13,39.772297,39.905125,39.269451,39.563568,33.779980,24757195
2019-02-14,39.563568,39.962048,39.487667,39.819733,33.998703,19864949
2019-02-15,40.208729,40.332069,39.924099,40.227703,34.347042,19168993
2019-02-19,40.075901,40.664139,40.028461,40.417458,34.509052,24432985
2019-02-20,40.351044,40.379505,39.781784,40.037952,34.185020,27354884
2019-02-21,39.867172,40.151802,39.715370,39.981026,34.136414,19611883
2019-02-22,40.132828,40.920303,40.056927,40.759014,34.800674,24779329
2019-02-25,40.834915,41.148006,40.740040,40.872864,34.897888,25274815
2019-02-26,40.759014,41.015179,40.607212,40.815941,34.849277,16548959
2019-02-27,40.777988,41.005692,40.616699,40.730549,34.776375,16475074
2019-02-28,40.749527,41.537003,40.673622,41.129032,35.116608,39002427
2019-03-01,41.375713,41.546490,41.072105,41.138519,35.124702,26667781
2019-03-04,41.214420,41.356735,40.683113,40.863377,34.889782,22805820
2019-03-05,40.882355,41.034157,40.654648,40.692600,34.743973,26529812
2019-03-06,40.626186,40.673622,39.487667,39.715370,33.909588,22410359
2019-03-07,39.715370,39.743832,39.136623,39.269451,33.528866,29046132
2019-03-08,39.212524,39.316887,38.273247,38.795067,33.123829,31306119
2019-03-11,38.994308,39.392788,38.709679,39.373814,33.617970,29161545
2019-03-12,39.563568,39.772297,39.250473,39.592030,33.804291,24170539
2019-03-13,39.724857,39.971539,39.421253,39.857685,34.031109,23715316
2019-03-14,39.848198,39.924099,39.022770,39.079697,33.366848,32119596
2019-03-15,39.117645,39.734344,38.766602,39.639469,33.844791,74768652
2019-03-18,39.629982,39.914612,39.516129,39.667931,33.869083,18994345
2019-03-19,39.819733,40.256168,39.611008,40.132828,34.266029,26403227
2019-03-20,40.037952,40.227703,39.639469,40.009487,34.160721,23499035
2019-03-21,39.781784,40.455406,39.724857,40.180267,34.306538,24262553
2019-03-22,40.037952,40.436432,39.686909,39.705883,33.901497,19620105
2019-03-25,39.667931,39.990513,39.535103,39.743832,33.933903,19823316
2019-03-26,40.037952,40.512333,39.971539,40.246677,34.363239,20849279
2019-03-27,40.170776,40.455406,39.772297,39.867172,34.039204,19455048
